Nome,Preco,Preco Sem Desconto,EAN,SKU,Marca,Categoria,Desconto
Dorflex com 10 Comprimidos - Sanofi,6.43,7.56,7891058017392,9753,hypera,Relaxante Muscular,0.15
Pharmaton 50+ com 30 Cápsulas - Sanofi,77.04,79.9,7891058021696,9688,hypera,Vitaminas,0.04
Dorflex com 36 Comprimidos - Sanofi,16.9,22.52,7891058017507,9159,hypera,Relaxante Muscular,0.25
Targifor A-Z Imunidade com 30 Cápsulas - Sanofi,54.9,54.9,7891058021726,6708,hypera,Vitaminas,0.0
Targifor A-Z Imunidade com 60 Cápsulas - Sanofi,97.69,109.9,7891058021702,6612,hypera,Vitaminas,0.11
Dorflex Uno com 10 Comprimidos - Sanofi,14.45,16.8,7891058022815,2666,hypera,Analgésicos,0.14
Lavitan Cálcio D3 com 60 Comprimidos - Cimed,20.04,29.9,7896523200453,19018,hypera,Vitaminas,0.33
Lavitan Infantil Tutti-Frutti com 60 Comprimidos Mastigáveis - Cimed,24.51,39.9,7897947614338,19019,hypera,Vitaminas,0.39
Lavitan A-Z Original com 60 Comprimidos - Cimed,19.31,29.9,7897947606517,19015,hypera,Vitaminas,0.35
Lavitan Memória com 60 Comprimidos - Cimed,23.34,39.9,7897947612358,19023,hypera,Vitaminas,0.42
Lavitan Infantil com 60 Comprimidos - Cimed,24.82,39.9,7897947601499,19022,hypera,Vitaminas,0.38
Lavitan Infantil Xarope Sabor Laranja com 240ml - Cimed,24.18,39.9,7897947611764,19020,hypera,Vitaminas,0.39
Lavitan Infantil Xarope Sabor Tutti-frutti com 240ml - Cimed,21.62,39.9,7897947614673,19021,hypera,Vitaminas,0.46
Loratamed D Xarope com 60ml - Cimed,16.62,26.34,7896523200491,19026,hypera,Alergias e Infecções,0.37
Sedamed 30mg + 300mg + 30mg - 20 Comprimidos,6.99,25.75,7896523209173,18979,hypera,Similar,0.73
Magnazia Suspensão de Uso Oral - 240ml,15.07,25.9,7898075311854,19005,hypera,Mais Medicamentos,0.42
Sedamed c\u002F4 cpr,0.99,4.69,7896523200354,18980,hypera,Similar,0.79
Waryz 450\u002F50mg c\u002F60 cpr,46.12,128.93,7896523200248,18981,hypera,Similar,0.64
Hedera Xarope Sabor Cereja 7mg - 100ml,13.68,45.63,7896523200057,19004,hypera,Fitoterápicos,0.7
Cleartop Shampoo - 100ml,16.18,27.02,7896523201351,18993,hypera,Mais Medicamentos,0.4
Colujet Pasta com 10g - Cimed,9.79,16.6,7896523210858,18994,hypera,Anti-Inflamatórios,0.41
Mind 10mg com 30 Comprimidos - Biolab,95.47,112.32,7896112400585,6147,hypera,Mais Medicamentos,0.15
Nebilet 5mg com 60 Comprimidos - Biolab,187.28,220.33,7896112400691,5880,hypera,Mais Medicamentos,0.15
Sintezys 150mg com 1 Comprimido - Biolab,76.62,102.81,7898146828953,5775,hypera,Mais Medicamentos,0.25
Nebilet 5mg com 30 Comprimidos - Biolab,127.09,149.52,7896112400684,5704,hypera,Mais Medicamentos,0.15
Venula com 60 Cápsulas - Biolab,72.82,84.67,7896112452690,5596,hypera,Mais Medicamentos,0.14
"Novanlo 2,5mg com 60 Comprimidos - Biolab",99.9,140.23,7896112422150,5597,hypera,Mais Medicamentos,0.29
Nebilet 5mg com 90 Comprimidos - Biolab,266.85,313.94,7896112400707,4970,hypera,Mais Medicamentos,0.15
Riscard 500mg com 60 Comprimidos - Biolab,118.72,147.54,7896112406532,3939,hypera,Mais Medicamentos,0.2
Olanzys 10mg com 30 Comprimidos - Biolab,211.25,248.53,7898146828403,3936,hypera,Mais Medicamentos,0.15
"Alozex 0,25mg\u002Fml sol 100ml",178.36,207.39,7896112401414,3937,hypera,Mais Medicamentos,0.14
Vonau Flash 8mg com 30 Comprimidos - Biolab,189.11,219.9,7896112401582,3434,hypera,Mais Medicamentos,0.14
Vonau Flash 4mg com 30 Comprimidos - Biolab,96.05,111.69,7896112401551,3094,hypera,Mais Medicamentos,0.14
"Ablok Plus 25\u002F12,5 com 60 Comprimidos - Biolab RX",37.47,48.89,7896112411529,2181,hypera,Hipertensão,0.23
Doss 50.000ui com 8 Cápsulas - Biolab,111.95,146.25,7896112400172,2023,hypera,Mais Medicamentos,0.23
Doss 7.000ui com 30 Cápsulas - Biolab,85.72,99.67,7896112400141,2022,hypera,Mais Medicamentos,0.14
Manitol 20% - 250ml,24.99,24.99,7896727869357,16011,hypera,Mais Medicamentos,0.0
Pomada Minâncora - 30g,18.56,19.74,0000078905108,15898,hypera,Mais Medicamentos,0.06
Qtern 5mg +10mg com 30 Comprimidos - Astrazeneca,236.71,294.37,5000456025461,828,hypera,Mais Medicamentos,0.2
Melatonina Equaliv - 30ml,21.02,34.99,7898687732559,23259,hypera,Mais Medicamentos,0.4
Helioral 250mg - 60 cápsulas,165.28,187.82,7898040328313,11997,hypera,Mais Medicamentos,0.12
Trileptal 300mg com 20 Comprimidos - Novartis,65.08,76.57,7896261000834,14738,hypera,Mais Medicamentos,0.15
Voltaren 50mg com 20 Comprimidos - Novartis,45.48,51.68,7896261021051,14586,hypera,Mais Medicamentos,0.12
Voltaren Retard 100mg com 10 Comprimidos - Novartis,43.96,49.95,7896261000261,14585,hypera,Mais Medicamentos,0.12
Voltaren SR 75mg com 20 Comprimidos - Novartis,50.14,56.98,7896261000025,14583,hypera,Mais Medicamentos,0.12
Voltaren Injetável 75mg 5 x 3ml - Novartis,22.59,25.67,7896261000797,14584,hypera,Mais Medicamentos,0.12
Onbrize 150mcg com 30 Cápsulas com Pó + 1 Inalador - Novartis,157.13,184.86,7896261016385,13846,hypera,Mais Medicamentos,0.15
Trileptal 600mg com 60 Comprimidos - Novartis,375.77,442.08,7896261006898,13841,hypera,Mais Medicamentos,0.15
"Exelon Patch 5 4,6mg com 30 Adesivos - Novartis",606.1,713.06,7896261013735,13672,hypera,Mais Medicamentos,0.15
Diovan Amlo fix 80\u002F5mg com 28 Comprimidos - Novartis,139.79,164.46,7896261012448,13521,hypera,Mais Medicamentos,0.15
Cataflam 50mg com 10 Drágeas - Novartis,23.99,25.52,7896261013490,13479,hypera,Mais Medicamentos,0.06
"Exelon Patch 10 9,5mg\u002F24h com 30 Adesivos - Novartis",706.48,831.15,7896261013766,13106,hypera,Mais Medicamentos,0.15
Seebri 50mcg com 30 Cápsulas - Novartis,233.0,282.8,7896261020184,9993,hypera,Mais Medicamentos,0.18
Ultibro 110\u002F50mcg com 30 Cápsulas + Inalador - Novartis,304.28,357.98,7896261018860,8744,hypera,Mais Medicamentos,0.15
Entresto 24-26mg com 28 Comprimidos - Novartis,163.67,192.55,7896261020269,7509,hypera,Mais Medicamentos,0.15
Simbrinza 8ml - Novartis,123.85,156.26,7896548199572,7499,hypera,Mais Medicamentos,0.21
Flavonid 450\u002F50mg c\u002F30 cpds,26.46,93.34,7896714203768,16533,hypera,Similar,0.72
Histamin com 20 Comprimidos - Neo Química,6.19,15.61,7896714219301,16314,hypera,Alergias e Infecções,0.6
Histamin Xarope com 100ml - Neo Quimica,14.69,20.22,7896714219318,16315,hypera,Alergias e Infecções,0.27
Lidogel gel 30gr com Aplicador - Neo Química,10.06,21.52,7896714230160,16136,hypera,Analgésicos,0.53
Massageol Aerosol - 120ml,19.87,50.95,7896714273006,16002,hypera,Mais Medicamentos,0.61
Massageol Pomada - 30g,8.99,23.46,7896714230504,16001,hypera,Mais Medicamentos,0.62
Neo folico 5mg c\u002F20 cpr,5.45,12.38,7896714201108,15803,hypera,Mais Medicamentos,0.56
Neosoro H Spray com 60ml - Neo Química,16.59,26.89,7896714225296,15796,hypera,Gripe e Resfriado,0.38
Neo fedipina 20mg 30cpr neo qu,12.47,31.49,7896714200125,15804,hypera,Mais Medicamentos,0.6
Neopiridin Spray com 50ml - Neo Química,16.5,37.98,7896714270029,15800,hypera,Gripe e Resfriado,0.57
Neosoro Infantil Solução Nasal com 30ml - Neo Química,6.82,11.34,7896714230023,15795,hypera,Gripe e Resfriado,0.4
Neopiridin com 12 Pastilhas - Neo Química,12.47,14.71,7896714283005,15801,hypera,Gripe e Resfriado,0.15
Neosulida 100mg c\u002F12 cpr,2.66,12.5,7896714200361,15793,hypera,Similar,0.79
Neo Fedipina 10mg com 30 Comprimidos - Neo Química,23.51,27.96,7896714200064,15805,hypera,Hipertensão,0.16
"Tibial 2,5mg c\u002F28 cpr",36.32,105.13,7896714266558,14912,hypera,Similar,0.65
Zymar XD 3ml - Allergan,48.51,51.61,7897316805671,12459,hypera,Mais Medicamentos,0.06
Ganfort 5ml - Allergan,208.8,259.37,7897316805237,11688,hypera,Mais Medicamentos,0.19
Latisse Gotas 5ml + 100 Aplicadores - Allergan,205.26,266.4,7897316805459,11213,hypera,Mais Medicamentos,0.23
Lumigan RC Colírio 5ml - Allergan,202.24,255.46,7897316805411,8028,hypera,Mais Medicamentos,0.21
Acular LS Colírio 5ml - Allergan,57.95,71.72,7897316804735,5131,hypera,Mais Medicamentos,0.19
Triplenex Solução Oftálmica 5ml - Allergan,210.93,248.15,7897316806623,4597,hypera,Mais Medicamentos,0.15
B-Tablock Colírio 5ml - Latinofarma,35.95,40.85,7896676433210,19025,hypera,Mais Medicamentos,0.12
Melatonina com 10ml - Melatz,54.9,79.9,7898950073549,22796,hypera,Vitaminas,0.31
Stodal 4CH Xarope - 150ml,58.9,58.9,7898927111311,27556,hypera,Mais Medicamentos,0.0
Quiétude - 20 flaconetes,93.99,93.99,7898927111304,26414,hypera,Mais Medicamentos,0.0
Camilia - 30 flaconetes,140.17,148.99,7898927111137,26415,hypera,Mais Medicamentos,0.06
Oscillococcinum - 30 tubos,233.63,239.9,7898927111090,26421,hypera,Gripe e Resfriado,0.03
Sedatif PC - 60 comprimidos,59.99,59.99,7898927111014,26416,hypera,Calmantes,0.0
Oscillococcinum com 6 Tubos - Boiron,62.9,62.9,7898927111045,26420,hypera,Gripe e Resfriado,0.0
Vitamina K2 MK7 com 120 Cápsulas - Sanitall,28.64,49.9,7898170102203,31407,hypera,Similar,0.43
Endofolin 5mg com 90 Comprimidos - Marjan,92.98,108.12,7896226108513,8155,hypera,Mais Medicamentos,0.14
Omeprazol 20mg c\u002F28 caps - Globo generico,4.24,22.2,7898060134147,21159,hypera,Mais Medicamentos,0.81
Acebrofilina Xarope Adulto 120ml - Globo Genérico,17.08,32.73,7899620912731,21068,hypera,Mais Medicamentos,0.48
Captopril 25mg com 30 Comprimidos - Globo Genérico,2.23,12.4,7899620910133,21078,hypera,Hipertensão,0.82
Cloridrato de Ciclobenzaprina 5mg com 30 Comprimidos - Globo Genérico,4.27,18.47,7898060139920,20089,hypera,Relaxante Muscular,0.77
Cloridrato de Ciclobenzaprina 5mg com 15 Comprimidos - Globo Genérico,3.51,11.89,7898060139913,20024,hypera,Relaxante Muscular,0.7
Cloridrato de Hidroxizina Xarope100ml - Globo Genérico,11.21,25.97,7898060133249,13058,hypera,Mais Medicamentos,0.57
"Desonida 0,5mg Creme 30g - Globo Genérico",8.6,16.68,7898060132563,3302,hypera,Alergias e Infecções,0.48
Secnidazol 1000mg com 4 Comprimidos - Globo Genérico,6.28,34.98,7899620911864,3285,hypera,Mais Medicamentos,0.82
Ciclopirox Olamina Creme 20g - Globo Genérico,11.34,24.42,7898060132761,3279,hypera,Mais Medicamentos,0.54
Simeticona 40mg 20 comprimidos - Globo,4.3,10.67,7899620912441,3283,hypera,Mais Medicamentos,0.6
Loratadina Xarope 100ml - Globo Genérico,12.53,24.63,7898060137544,3290,hypera,Alergias e Infecções,0.49
Cloridrato de Ambroxol Xarope Adulto - 120ml,10.21,23.75,7899620913004,2876,hypera,Genéricos,0.57
Secnidazol 1000mg com 2 Comprimidos - Globo Genérico,3.82,20.22,7899620911857,2328,hypera,Mais Medicamentos,0.81
Cetoconazol 200mg com 30 Comprimidos - Globo Genérico,15.59,77.76,7899620911376,1669,hypera,Mais Medicamentos,0.8
Cloridrato de Ambroxol Xarope Pediátrico 120ml - Globo,9.83,25.7,7899620912991,1593,hypera,Genéricos,0.62
Fumarato de Quetiapina 25mg com 30 Comprimidos - GSK Genérico,8.82,92.37,7896658035371,26973,hypera,Mais Medicamentos,0.9
Funchicórea Pó com 3g - Melpoejo,25.96,29.5,7897679601002,16448,hypera,Digestivo,0.12
Cataflampro XT Emulgel com 50g - Novartis,44.21,50.24,7896261019331,7955,hypera,Anti-Inflamatórios,0.12
Lumigan Colírio 5ml - Allergan,222.05,284.76,7897316805183,16049,hypera,Mais Medicamentos,0.22
Oflox Colírio 5ml - Allergan,48.46,51.55,7897316800256,15675,hypera,Mais Medicamentos,0.06
Optive - 10ml,51.81,62.09,7897316806371,15642,hypera,Mais Medicamentos,0.17
Optive - 15ml,77.24,92.49,7897316806388,15641,hypera,Mais Medicamentos,0.16
Pilocarpina Colírio 2% 10ml Frumt - Allergan,36.86,41.89,7897316802236,15537,hypera,Mais Medicamentos,0.12
Pilocarpina Colírio 1% 10ml Frumt - Allergan,26.17,29.74,7897316802212,15538,hypera,Mais Medicamentos,0.12
Pred Fort Oftálmica 5ml - Allergan,46.84,54.46,7897316800300,15477,hypera,Mais Medicamentos,0.14
Relestat Colírio 5ml - Allergan,64.45,78.89,7897316805299,15339,hypera,Mais Medicamentos,0.18
Still Colírio 5ml - Allergan,19.73,20.99,7897316802335,15046,hypera,Mais Medicamentos,0.06
Zymar Frasco com 5ml - Allergan,48.51,51.61,7897316804902,14555,hypera,Mais Medicamentos,0.06
"Alphagan Z 0,10% Solução Oftálmica 5ml - Allergan",53.61,66.51,7897316805268,14519,hypera,Mais Medicamentos,0.19
Zypred Frasco 6ml - Allergan,83.28,88.6,7897316805442,14506,hypera,Mais Medicamentos,0.06
Optive Ud - 30 Flaconetes,72.35,128.9,7897316806630,13576,hypera,Mais Medicamentos,0.44
Lumigan RC Colírio 3ml - Allergan,121.45,153.31,7897316805404,13568,hypera,Mais Medicamentos,0.21
"Lastacaft 0,25% 3ml - Allergan",60.62,74.29,7897316806012,12891,hypera,Mais Medicamentos,0.18
Enxaguante bucal menta suave 250ml,12.8,16.76,7891317010942,25554,hypera,Similar,0.24
Risperidona 1mg com 30 Comprimidos - Globo Genérico,7.31,35.06,7899620915367,29518,hypera,Calmantes,0.79
Risperidona 2mg com 30 Comprimidos - Globo Genérico,9.09,37.22,7899620915404,28709,hypera,Calmantes,0.76
Cloridrato de Sertralina 100mg com 30 Comprimidos - Globo Genérico,18.59,93.38,7899620911284,29519,hypera,Calmantes,0.8
Risperidona 3mg com 30 Comprimidos - Globo Genérico,10.39,43.44,7899620915442,28853,hypera,Mais Medicamentos,0.76
Cloridrato de Sertralina 50mg com 30 Comprimidos - Globo Genérico,8.35,44.14,7899620911277,24408,hypera,Mais Medicamentos,0.81
Azitromicina 500mg com 3 Comprimidos - Globo Genérico,5.58,18.04,7898060132501,21063,hypera,Mais Medicamentos,0.69
Azitromicina 500mg com 5 Comprimidos - Globo Genérico,9.31,31.56,7898060132518,19238,hypera,Mais Medicamentos,0.71
Norfloxacino 400mg com 14 Comprimidos - Globo Genérico,10.24,27.8,7898060132686,12617,hypera,Mais Medicamentos,0.63
Levofloxacino 500mg com 10 Comprimidos - Globo Genérico,14.96,84.11,7899620912687,1858,hypera,Mais Medicamentos,0.82
Levofloxacino 500mg com 7 Comprimidos - Globo Genérico,10.22,67.97,7899620912670,2204,hypera,Mais Medicamentos,0.85
Cloridrato de Loperamida 2mg - 12 comprimidos,5.84,6.13,7898060132600,32184,hypera,Mais Medicamentos,0.05
Nimesulida Gotas 15ml - Globo,3.69,16.29,7899620914155,29502,hypera,Anti-Inflamatórios,0.77
Acebrofilina Xarope Pediátrico 120ml - Globo Genérico,15.28,20.64,7899620912748,25236,hypera,Mais Medicamentos,0.26
Cloridrato de Ciclobenzaprina 10mg com 15 Comprimidos - Globo Genérico,6.14,14.56,7898060139944,23667,hypera,Relaxante Muscular,0.58
Sinvastatina 20mg com 30 Compimidos - Globo Genérico,4.88,14.86,7899620911031,22515,hypera,Mais Medicamentos,0.67
Hemitartarato de Zolpidem 10mg 30 comprimidos - Germed,6.7,69.14,7896004774121,20425,hypera,Calmantes,0.9
Alprazolam 2mg com 30 Comprimidos - Germed Genérico,6.64,76.45,7896004718897,17871,hypera,Calmantes,0.91
Alprazolam 1mg com 30 Comprimidos - Germed Genérico,3.38,28.38,7896004718873,17872,hypera,Calmantes,0.88
Cloridrato de Fluoxetina 20mg com 30 Comprimidos - Germed Genérico,4.72,58.02,7896004711799,17228,hypera,Mais Medicamentos,0.92
Topiramato 50mg com 60 Comprimidos - Germed Genérico,23.94,167.9,7896004713052,14763,hypera,Mais Medicamentos,0.86
Nitrazepam 5mg com 20 Comprimidos - Germed Genérico,16.31,19.11,7896004711508,15746,hypera,Mais Medicamentos,0.15
Topiramato 100mg com 60 Comprimidos - Germed Genérico,37.7,246.39,7896004713045,14265,hypera,Mais Medicamentos,0.85
Cloridrato de Bupropiona 150mg com 30 Comprimidos - Germed Genérico,27.42,118.64,7896004732640,12718,hypera,Mais Medicamentos,0.77
Cloridraro de Tramadol Uso Oral 100mg 15ml - Germed Genérico,29.31,83.96,7896004708607,13301,hypera,Mais Medicamentos,0.65
Hemifumarato de Quetiapina 25mg 30 comprimidos - Germed,6.61,47.93,7896004738949,11290,hypera,Mais Medicamentos,0.86
Fumarato de Quetiapina 100mg com 30 Comprimidos - Germed Genérico,22.3,137.88,7896004730400,11293,hypera,Mais Medicamentos,0.84
Clonazepam 2mg com 30 Comprimidos - Germed Genérico,3.89,19.66,7896004721842,11322,hypera,Calmantes,0.8
Fumarato de Quetiapina 200mg com 30 Comprimidos - Germed Genérico,34.06,264.81,7896004730417,11291,hypera,Mais Medicamentos,0.87
Topiramato 25mg com 60 Comprimidos - Germed Genérico,16.66,92.78,7896004713038,11558,hypera,Mais Medicamentos,0.82
Cloridrato de Fluoxetina 10mg com 28 Comprimidos - Germed Genérico,17.3,42.05,7896004720449,10965,hypera,Mais Medicamentos,0.59
Dipropionato de Betametasona + Sulfato de Gentamicina Pomada 30g - Eurofarma,11.07,30.36,7891317025809,30781,hypera,Fitoterápicos,0.64
Valerato de Betametasona + Sulfato de Gentamicina + Tolnaftato + Clioquinol 20g - Eurofarma Genérico,13.64,30.24,7891317009113,21268,hypera,Mais Medicamentos,0.55
Cloridrato de Ciprofloxacino 500mg com 14 Comprimidos - Eurofarma Genérico,12.91,49.27,7891317191733,18532,hypera,Mais Medicamentos,0.74
Amoxicilina 400mg Suspensão de Uso Oral 100ml - Eurofarma Genérico,21.98,46.16,7891317005054,17846,hypera,Mais Medicamentos,0.52
Amoxicilina 250mg Frasco com Pó 150ml - Eurofarma Genérico,22.05,30.61,7891317001568,17839,hypera,Mais Medicamentos,0.28
Ceftriaxona Sódica Injeção Intra Muscular 1g 3.5ml - Eurofarma Genérico,15.05,41.9,7891317007836,17423,hypera,Mais Medicamentos,0.64
Cefadroxila 250mg Frasco com Pó 100ml - Eurofarma Genérico,54.7,113.45,7891317001421,17432,hypera,Mais Medicamentos,0.52
Ceftriaxona Sódica Injeção 500mg Intra Muscular 2ml - Eurofarma Genérico,16.27,27.87,7891317007829,17424,hypera,Mais Medicamentos,0.42
Amoxicilina + Clavulanato de Potássio 875mg com 14 Comprimidos - Eurofarma Genérico,32.48,170.37,7891317422042,13311,hypera,Mais Medicamentos,0.81
Levofloxacino 500mg com 7 Comprimidos - Eurofarma Genérico,11.59,109.95,7891317414139,13291,hypera,Mais Medicamentos,0.89
"Azitromicina 1500mg Suspensão de Uso Oral 37,5ml - Eurofarma Genérico",40.39,125.3,7891317101961,10713,hypera,Mais Medicamentos,0.68
Azitromicina 600mg Suspensão de Uso Oral 9ml - Eurofarma Genérico,33.8,61.08,7891317102012,7698,hypera,Mais Medicamentos,0.45
Levofloxacino 750mg com 7 Comprimidos - Eurofarma Genérico,30.34,103.34,7891317003647,5714,hypera,Mais Medicamentos,0.71
Levofloxacino 750mg com 5 Comprimidos - Eurofarma Genérico,23.2,73.81,7891317003630,5715,hypera,Mais Medicamentos,0.69
Espironolactona 25mg com 30 Comprimidos - Eurofarma Genérico,12.98,26.64,7891317431358,12783,hypera,Mais Medicamentos,0.51
Colágeno Hidrolisado Max Titanium com 100 Cápsulas - Max Titanium,28.04,32.99,7898944774360,3413,hypera,Vitaminas,0.15
"Meloxicam 7,5mg com 10 Comprimidos - Legrand Genérico",3.87,22.33,7894916140690,3315,hypera,Mais Medicamentos,0.83
"Drospirenona + Etinilestradiol  3mg + 0,03mg com 63 Comprimidos - Legrand Genérico",38.46,112.67,7894916148252,3326,hypera,Anticoncepcionais,0.66
Desloratadina 5mg com 10 Comprimidos - Legrand Genérico,7.18,49.61,7894916145459,3274,hypera,Mais Medicamentos,0.86
"Drospirenona + Etinilestradiol 3mg + 0,02mg com 24 Comprimidos - Legrand Genérico",17.1,61.71,7894916148108,3271,hypera,Anticoncepcionais,0.72
Fenofibrato 200mg com 30 Comprimidos - Legrand Genérico,83.19,103.35,7894916145015,3267,hypera,Mais Medicamentos,0.2
Atenolol 100mg com 30 Comprimidos - Legrand Genérico,7.2,40.89,7894916144223,3262,hypera,Hipertensão,0.82
Domperidona 10mg com 30 Comprimidos - Legrand Genérico,6.01,19.78,7894916145114,2433,hypera,Mais Medicamentos,0.7
Itraconazol 100mg com 4 Cápsulas - Legrand Genérico,7.75,47.96,7894916140973,2263,hypera,Mais Medicamentos,0.84
Losartana Potássica 100mg com 30 Comprimidos  - Legrand Genérico,17.04,81.32,7894916145152,2026,hypera,Mais Medicamentos,0.79
