,Nome,Preço sem desconto,Preço com desconto,Desconto (porcentagem),Código EAN,Marca
60,ZZ Oleo Mineral Naturol Farmax Frasco Com 100Ml De Oleo De Uso Dermatologico,12.67,12.67,0,,
61,"Picoprep contém 2 sachês com 16,1g cada - sabor laranja",49.58,49.58,0,,
62,Aflexa colágeno 30 cápsulas,89.0,89.0,0,,
63,"Allexofedrin D 60 + 120mg, caixa com 10 comprimidos revestidos",59.57,59.57,0,,
64,"Aradois 50Mg, Caixa Com 30 Comprimidos Revestidos",56.17,56.17,0,,
65,"Loceryl Esmalte 50Mg Ml, Caixa Com 1 Frasco Com 2,5Ml De Esmalte De Uso Dermatologico + 10 Espatulas + 30 Compressas + 30 Lixas",189.91,189.91,0,,
66,"Levotiroxina Sodica Merck 100Mcg, Caixa Com 30 Comprimidos",9.8,9.8,0,,
67,Naturetti 16 Cápsulas,62.54,62.54,0,,
68,"Espironolactona Eurofarma 50Mg, Caixa Com 30 Comprimidos",42.24,42.24,0,,
69,"Orlistate Prati-Donaduzzi 120mg, caixa com 84 cápsulas duras",361.08,361.08,0,,
70,"Dipirona Monoidratada Comprimido EMS 500mg, blister com 10 comprimidos",6.95,6.95,0,,
71,Quelatus Bari 60 Comprimidos,146.0,146.0,0,,
72,"Venocel 100Mg, Caixa Com 30 Capsulas Gelatinosas",25.31,25.31,0,,
73,Suplemento Alimentar Caldê MDK 2.000ui 60 Comprimidos Revestidos,175.3,175.3,0,,
74,"Contractubex 100Mg G + 10Mg G + 0,4Mg G, Caixa Com 1 Bisnaga Com 20G De Gel De Uso Dermatologico",108.96,108.96,0,,
75,Lactosil 10.000 com 30 cápsulas,91.57,91.57,0,,
76,"Probenxil Gel 10Mg G, Caixa Com 1 Bisnaga Com 60G De Gel De Uso Dermatologico",19.7,19.7,0,,
77,Cimegripe 77c Sabor Mel e Limão Sachê 5g 1 Unidade,1.58,1.58,0,,
78,Dramin Capsulas Gelatinosas 50 Mg 10 Capsulas X20,18.05,18.05,0,,
79,"Tamarine 4,878mg/g + 4,719mg/g, frasco com 150g de geléia uso oral, zero açúcar",84.64,84.64,0,,
80,Eliquis 5mg 60 comprimidos,369.86,369.86,0,,
81,"Allestra 30 0,075Mg + 0,030Mg, Caixa Com 63 Comprimidos Revestidos",88.34,88.34,0,,
82,Daflon 900mg + 100mg 30 Comprimidos,176.35,176.35,0,,
83,Maxidrate 6mg Gel Nasal com 30g,50.88,50.88,0,,
84,Antialérgico Allexofedrin Pediátrico 6mg mL EMS 60mL,35.95,35.95,0,,
85,Tamarine 6MG Caixa Com 20 Capsulas,87.2,87.2,0,,
86,"Bepantriz 50mg/g, caixa com 1 bisnaga com 30g de pomada de uso dermatológico",24.81,24.81,0,,
87,"Cerumin 0,4Mg Ml + 140Mg Ml, Caixa Com 1 Frasco Gotejador Com 8Ml De Solucao De Uso Otologico",17.27,17.27,0,,
88,Venocel Gel 300 Gramas  + Valv Pump,70.67,70.67,0,,
89,"Pilulas Imescard 10Mg + 10Mg + 10Mg + 30Mg, Caixa Com 36 Drageas",36.23,36.23,0,,
90,"Dipirona Monoidratada Comprimido Prati-Donaduzzi 500mg, blíster com 10 comprimidos",5.66,5.66,0,,
91,Sonridor Caf 2Cpr Eferv X12,9.19,9.19,0,,
92,"Bicarbonato de Sódio ADV Farma caixa com 10 sachês de 2,5g de pó para solução de uso oral",7.77,7.77,0,,
93,"Trezete 20mg + 10mg, caixa com 30 comprimidos revestidos",125.09,125.09,0,,
94,"Enemin 714mg/g + 7,70mg/g, caixa com 7 bisnagas com 6,5g de solução de uso retal",47.02,47.02,0,,
95,Benatux Xarope Sabor Menta Frasco 120ml + Copo Medidor,20.34,20.34,0,,
96,"Tadalafila Medley 5mg, caixa com 30 comprimidos revestidos",89.74,89.74,0,,
97,"Propranolol Ems 40Mg, Caixa Com 30 Comprimidos",15.75,15.75,0,,
98,Tamoxifeno 20Mg 30Cp Blau,244.56,244.56,0,,
99,"Budesonida EMS 32mcg/acionamento, caixa com 1 frasco com 120 doses de suspensão de uso nasal",26.16,26.16,0,,
100,"Omeprazol Medley 10mg, caixa com 14 cápsulas gelatinosas duras de liberação retardada",21.43,21.43,0,,
101,Myrafer 100mg ml Solução Gotas 30ml,51.45,51.45,0,,
102,"Molieri 20 3Mg + 0,02Mg, Caixa Com 24 Comprimidos Revestidos",68.64,68.64,0,,
103,"Xarope Desloratadina 0,5mg mL Nova Química",73.9,73.9,0,,
104,"Salonpas Adesivo envelope com 4 emplastros, tamanho pequeno",4.73,4.73,0,,
105,"Selene 0,035mg + 2mg, caixa com 63 comprimidos revestidos",70.34,70.34,0,,
106,Biofenac Aerosol 60g,32.56,32.56,0,,
107,"Dorflex 300mg + 35mg + 50mg, caixa com 36 comprimidos",22.52,22.52,0,,
108,Calmasyn 900mg 20 Comprimidos,69.97,69.97,0,,
109,"Acetofenida De Algestona + Enantato De Estradiol Mabra 150Mg Ml + 10Mg Ml, Caixa Com 1 Ampola Com 1Ml De Solucao De Uso Intramuscular",14.83,14.83,0,,
110,"Emistin Comprimido 1Mg + 0,5Mg, Caixa Com 20 Comprimidos",51.94,51.94,0,,
111,Tadalafila 5mg Neo Química 28 Comprimidos Revestidos,85.41,85.41,0,,
112,"Lidocaína Pomada EMS 50mg/g, caixa com 1 bisnaga com 25g de pomada de uso dermatológico",16.93,16.93,0,,
113,Creme Dermatológico Azelan 200mg 30g,89.24,89.24,0,,
114,"Acido Acetilsalicilico Ems 100Mg, Blister Com 10 Comprimidos",3.51,3.51,0,,
115,"Gel para Pele com Rosácea Galderma Rozex 7,5mg g com 30g",105.22,105.22,0,,
116,"Vick Vaporub 28,2 + 52,6 + 13,3mg/g, unguento, pote com 50g",58.2,58.2,0,,
117,Imecap Rejuvenecedor Com 30 Saches,70.43,70.43,0,,
118,Cloridrato de Metformina 750mg 30 Comprimidos Prati Donaduzzi,23.23,23.23,0,,
119,Mega Mater 30 Cápsulas Moles,98.98,98.98,0,,
120,"Cobapetit 0,8mg mL + 0,2mg mL Xarope 100mL",29.82,29.82,0,,
121,Qlaira caixa com 26 comprimidos ativos + 2 comprimidos inativos,70.7,70.7,0,,
122,"Pant 50Mg Ml, Caixa Com 2 Frascos Com 50Ml De Solucao De Uso Capilar + 1 Valvula Spray",114.7,114.7,0,,
123,"Aciclovir Comprimido Teuto 200Mg, Caixa Com 25 Comprimidos",67.18,67.18,0,,
124,Vick Pastilhas Sabor Menta 5 Unidades,3.69,3.69,0,,
125,Dorflex 50cpr,26.9,26.9,0,,
126,"Lotar 5Mg + 100Mg, Caixa Com 30 Capsulas Gelatinosas Duras",84.83,84.83,0,,
127,"Hidroclorotiazida Medquimica 25Mg, Caixa Com 30 Comprimidos",3.18,3.18,0,,
128,Ômega 3 - 1gr Kester 60 cápsulas,43.33,43.33,0,,
129,Andriodermol Solução Tópica 50ml,27.07,27.07,0,,
130,"Sintocalmy 600Mg, Caixa Com 30 Comprimidos Revestidos",79.81,79.81,0,,
131,"Pant 50mg/mL, caixa contendo 1 frasco com 50mL de solução de uso capilar + 1 válvula spray",74.42,74.42,0,,
132,"Nistatina + Óxido de Zinco Cimed 100.000UI/g + 200mg/g, caixa com 1 bisnaga com 60g de pomada de uso dermatológico",28.23,28.23,0,,
133,Condres Colágeno 40mg 90 Cápsulas,367.0,367.0,0,,
134,Suplemento Alimentar Imecap Hair Silicio Organico Com 60 Capsulas,60.57,60.57,0,,
135,"Calman 100mg + 30mg + 100mg, caixa com 20 comprimidos revestidos",69.66,69.66,0,,
136,Colaten Plenne Com 30 Saches,217.14,217.14,0,,
137,DTN-fol 400mcg + 10mg 90 Cápsulas Gelatinosa Moles,140.4,140.4,0,,
138,"Tamisa 15 0,060Mg + 0,015Mg, Caixa Com 28 Comprimidos Revestidos",27.88,27.88,0,,
139,"Viagra 50mg, 2 comprimidos",70.91,70.91,0,,
140,"Neosoro 0,5mg/mL, caixa com 1 frasco gotejador com 30mL de solução de uso nasal",11.55,11.55,0,,
141,"Etna Cápsula 1,0mg + 2,5mg + 1,5mg, caixa com 50 cápsulas gelatinosas duras",149.13,149.13,0,,
142,Avide Racecadotrila 100mg 9 cápsulas,52.92,52.92,0,,
143,"Cimegripe 400mg + 4mg + 4mg, caixa com 20 cápsulas gelatinosas duras",26.67,26.67,0,,
144,Creme Para Pernas E Pes Venalot 240Ml,72.98,72.98,0,,
145,Sonitus Melatonina 210mcg Kester 120 comprímidos,49.9,49.9,0,,
146,"Ibuprofeno Comprimido Prati-Donaduzzi 600mg, blíster com 10 comprimidos revestidos",9.26,9.26,0,,
147,"Nesina 25Mg, Com 30 Comprimidos Revestidos",174.05,174.05,0,,
148,"Vick Pyrena, 1 Envelope Camomila E Erva-Cidreira",4.56,4.56,0,,
149,"Prednisolona EMS 20mg, caixa com 10 comprimidos",20.31,20.31,0,,
150,Sonrisal 2 Comprimidos Efervescentes,2.93,2.93,0,,
151,Hidratante Anal em Gel Pro com 3g c 10 Bisnaga,109.89,109.89,0,,
152,"Domperidona Nova Quimica 10Mg, Caixa Com 30 Comprimidos",20.87,20.87,0,,
153,"Cicloprimogyna 2Mg +  2Mg + 0,25Mg , Caixa Com 21 Drageas",14.17,14.17,0,,
154,Complexo Senna Almeida Prado 46 60 comprimidos,38.98,38.98,0,,
155,"Sulfato De Salbutamol Prati-Donaduzzi 0,48Mg Ml, Caixa Com 1 Frasco Com 120Ml De Xarope + Copo Medidor",7.56,7.56,0,,
156,"Losartana Potássica Neo Química 50mg, caixa com 30 comprimidos revestidos",8.85,8.85,0,,
157,"Addera D3 Capsulas 10000Ui, Caixa Com 10 Capsulas Moles",109.29,109.29,0,,
158,Loratadina 1mg mL + Sulfato de Pseudoefedrina 12mg mL Xarope 60ml Aché Biosintética Genérico,31.15,31.15,0,,
159,"Hirudoid 5mg/g, caixa com 1 bisnaga com 40g de gel de uso dermatológico",40.78,40.78,0,,
160,"Acetato de Dexametasona Teuto 1mg/g, caixa com 1 bisnaga com 10g de creme de uso dermatológico",11.98,11.98,0,,
161,Besilato de Anlodipino 5mg 30 Comprimidos Teuto Genérico,9.5,9.5,0,,
162,"Tadalafila 5Mg Ache, Caixa Com 30 Comprimidos Revestidos",90.34,90.34,0,,
163,"Nistatina + Óxido de Zinco EMS 100.000UI/g + 200mg/g, caixa com 1 bisnaga com 60g de pomada de uso dermatológico",28.49,28.49,0,,
164,"Cloridrato de Terbinafina Biosintética - Aché 250mg, caixa com 14 comprimidos",131.82,131.82,0,,
165,"Proctyl 100Mg + 27Mg, Caixa Com 15 Supositorios De Uso Retal",84.3,84.3,0,,
166,Dexfer 400mg 30 Comprimidos Revestidos,64.42,64.42,0,,
167,"Dermodex Tratamento 100.000Ui G + 200Mg G, Caixa Com 1 Bisnaga Com 60G De Pomada De Uso Dermatologico",82.9,82.9,0,,
168,"Secnidazol Medley 1000mg, caixa com 2 comprimidos revestidos",24.32,24.32,0,,
169,"Cloridrato de Metformina Prati-Donaduzzi 500mg, caixa com 30 comprimidos revestidos",7.37,7.37,0,,
170,"Doralgina 30mg+ 300mg + 30mg, caixa com 20 drágeas",28.5,28.5,0,,
171,"Vick Vaporub 28,2 + 52,6 + 13,3mg/g, unguento, pote 12g",18.51,18.51,0,,
172,"Puran T4 12,5Mcg 30 Comprimidos",3.61,3.61,0,,
173,Itraconazol 100mg Genérico Eurofarma 4 Cápsulas,52.8,52.8,0,,
174,"Atenolol 50mg + Clortalidona 12,5mg Eurofarma 30 Comprimidos",34.85,34.85,0,,
175,"Losartana Potássica Multilab 50mg, caixa com 30 comprimidos revestidos",15.0,15.0,0,,
176,"Espironolactona Eurofarma 25mg, caixa com 30 comprimidos",26.64,26.64,0,,
177,"Gino-Canesten 500mg, caixa com 1 comprimido vaginal + 1 aplicador",99.9,99.9,0,,
178,"Depo-Provera 150Mg Ml, Caixa Com 1 Frasco Com Suspensao De Uso Intramuscular + 1 Seringa Preenchida Com 1Ml De Diluente + Agulha",60.23,60.23,0,,
179,Suplemento Vitamínico e Mineral Puravit Imune Sabor Morango 75ml + Copo Dosador,64.22,64.22,0,,
180,"Sinvastatina Sandoz 40mg, caixa com 30 comprimidos revestidos",140.53,140.53,0,,
181,Puran T4 50Mcg 30 Comprimidos,19.02,19.02,0,,
182,"Forteviron 250mg, caixa com 60 comprimidos",86.35,86.35,0,,
183,Fexx Cloridrato de Fexofenadina 180mg 10 comprimidos,76.27,76.27,0,,
184,"Desogestrel Eurofarma 75mcg, caixa com 84 comprimidos revestidos",82.79,82.79,0,,
185,"Succinato De Sumatriptana Biolab Genericos 50Mg, Caixa Com 2 Comprimidos Revestidos",27.46,27.46,0,,
186,Januvia 25mg caixa com 28 comprimidos,80.26,80.26,0,,
187,"Riopan Plus Suspensão Oral 80mg/mL + 10mg/mL, caixa com 1 frasco com 240mL de suspensão de uso oral, sabor menta",48.28,48.28,0,,
188,"Elani 28 3mg+0,03mg 84 Comprimidos Revestidos",227.94,227.94,0,,
189,Suplemento Alimentar Imunoglucan Ds 60 Caps,132.66,132.66,0,,
190,"Gestinol 0,30mg+0,075mg 84 Comprimidos Revestidos",163.19,163.19,0,,
191,"Rosuvastatina Calcica Nova Quimica 20Mg, Caixa Com 30 Comprimidos Revestidos",209.87,209.87,0,,
192,Hidraenema Hidratante Anal em Gel com 15gr C 5bisnagas,83.33,83.33,0,,
193,CafiLisador 500mg + 65mg com 4 comprimidos Caixa com 25 Cartelas,11.37,11.37,0,,
194,Zinpass + Eze 10Mg 10Mg Com 30 Comprimidos Revestidos,86.72,86.72,0,,
195,"Puran T4 37,5Mcg 30 Comprimidos",10.88,10.88,0,,
196,FLUCONAZOL 150MG2CAP CIM OF,20.06,20.06,0,,
197,"Propionato De Clobetasol Solucao Capilar Prati-Donaduzzi 0,5Mg G, Caixa Com 1 Frasco Gotejador Com 50G De Solucao De Uso Capilar",42.24,42.24,0,,
198,L- Caps D+ Ômega 3 + Vitamina D 60 Cápsulas,119.02,119.02,0,,
199,Maresis Ar Sol Spray 100mL,52.31,52.31,0,,
200,Polivitamínico Emulvit A-Z 60 comprimidos,70.87,70.87,0,,
201,"Epocler 100Mg Ml + 50Mg Ml + 10Mg Ml, Flaconete Com 10Ml De Solucao De Uso Oral",3.99,3.99,0,,
202,"Suplemento Alimentar de Fibras Nestlé FiberMais Zero Açúcares sem sabor, lata com 260g",129.99,129.99,0,,
203,"Broncho-Vaxom 3,5Mg, Caixa Com 10 Capsulas",69.73,69.73,0,,
204,"Aspirina Prevent 100mg, caixa com 30 comprimidos revestidos",23.28,23.28,0,,
205,Microdiol 015 + 003mg caixa com 21 comprimidos,48.3,48.3,0,,
206,"Peg-Lax 8,5g Pó Para Solução Oral Sem Sabor 14 Envelopes",47.36,47.36,0,,
207,"Dexametasona EMS 4mg, caixa com 10 comprimidos",14.78,14.78,0,,
208,"Suplemento Calceos Kids Cereja, 200Ml",60.93,60.93,0,,
209,"Creme Para Varizes Varicell Pele Normal, 300G",63.5,63.5,0,,
210,Aas Protect 100Mg 30Cpr,22.16,22.16,0,,
211,"Nimesulida Vitamedic 100mg, caixa com 12 comprimidos",14.0,14.0,0,,
212,"Imosec 2mg, caixa com 12 comprimidos",11.66,11.66,0,,
213,"Camomilina C 25mg + 5mg + 25mg + 150UI, caixa com 20 cápsulas gelatinosas duras",60.14,60.14,0,,
214,"Inilok 40Mg, Caixa Com 30 Comprimidos Revestidos De Liberacao Retardada",68.65,68.65,0,,
215,"Hidroclorotiazida Neo Química 25mg, caixa com 30 comprimidos",3.84,3.84,0,,
216,"Cobavital 1mg + 4mg, caixa com 30 microcomprimidos",39.72,39.72,0,,
217,Suplemento Alimentar Pharmaton Imunidade e Energia 30 Cápsulas,64.27,64.27,0,,
218,"Cetoconazol Comprimido Pharlab 200Mg, Caixa Com 10 Comprimidos",34.85,34.85,0,,
219,"Decongex Plus 12mg + 15mg, caixa com 12 comprimidos revestidos de liberação prolongada",29.74,29.74,0,,
220,"Advantan Creme Dermatologico 1Mg G, Caixa Com 1 Bisnaga Com 15G De Creme Dermatologico",81.36,81.36,0,,
221,"Lisador 500mg + 5mg + 10mg, caixa com 16 comprimidos",44.98,44.98,0,,
222,Aflexa Max colágeno 30 cápsulas,99.0,99.0,0,,
223,"Enterogermina 2BCFU/5mL, caixa com 10 flaconetes com 5mL de suspensão de uso oral",59.58,59.58,0,,
224,Colaten Force 60 Comprimidos  Revestidos,255.6,255.6,0,,
225,"Vita E 400Mg, Caixa Contendo 30 Capsulas Gelatinosas Moles",47.15,47.15,0,,
226,"Mesilato De Doxazosina Cimed 4Mg, Caixa Com 30 Comprimidos",67.81,67.81,0,,
227,"Angino-Rub 3mg, caixa com 16 pastilhas, menta",20.52,20.52,0,,
228,"Cobavital 1mg + 4mg, caixa com 16 microcomprimidos",22.94,22.94,0,,
229,"Levotiroxina Sodica Merck 50Mcg, Caixa Com 30 Comprimidos",11.49,11.49,0,,
230,Base Endurecedora com Formol Top Beauty Concreto SOS Unhas 7mL,8.07,8.07,0,,
231,"Andolba Aerossol 4,5Mg G + 0,5Mg G + 0,5Mg G, Caixa Com 1 Tubo Aerosol Com 43G De Solucao De Uso Dermatologico",38.84,38.84,0,,
232,"Iumi ES 3mg + 0,02mg, caixa com 30 comprimidos revestidos",70.81,70.81,0,,
233,"Janumet Xr 50Mg 1000Mg, Caixa Com 60 Comprimidos Revestidos De Liberacao Prolongada",314.03,314.03,0,,
234,"Mesalazina Neo Química 800mg, caixa com 30 comprimidos revestidos",106.56,106.56,0,,
235,Suplemento Alimentar Imunoglucan Ds Susp 150Ml,70.04,70.04,0,,
236,"Buscopan Composto 10mg + 250mg, caixa com 20 comprimidos revestidos",24.29,24.29,0,,
237,"Proctan 5Mg G + 20Mg G + 20Mg G + 100Mg G, Caixa Com 1 Bisnaga Com 25G De Pomada De Uso Retal",46.45,46.45,0,,
238,"Cutisanol Gel 1,5Mg G + 45Mg G, Tubo Com 100G De Gel De Uso Dermatologico",71.02,71.02,0,,
239,"Dorilen 500mg + 10mg + 5mg/1,5mL, caixa com 1 frasco gotejador com 15mL de solução de uso oral",36.4,36.4,0,,
240,"Luftal 75mg/mL, caixa com 1 frasco gotejador com 30mL de emulsão de uso oral",55.9,55.9,0,,
241,"Hidróxido de Alumínio EMS 61,5mg/mL, caixa com 1 frasco com 240mL de suspensão de uso oral",19.59,19.59,0,,
242,"Levotiroxina Sodica Merck 88Mcg, Caixa Com 30 Comprimidos",15.12,15.12,0,,
243,"Dipirona Monoidratada Medley 500Mg, Blister Com 10 Comprimidos",9.05,9.05,0,,
244,"Buscopan 10Mg Ml, Caixa Com 1 Frasco Com 20Ml De Solucao De Uso Oral",22.32,22.32,0,,
245,"Orlistate Neo Quimica 120Mg, Caixa Com 42 Capsulas Gelatinosas Duras",194.24,194.24,0,,
246,"Concor HCT 5mg + 12,5mg caixa com 30 comprimidos",138.44,138.44,0,,
247,Clomid 50mg caixa com 10 comprimidos,75.05,75.05,0,,
248,"Puran T4 62,5Mcg 30 Comprimidos",18.12,18.12,0,,
249,"Glifage Xr 850Mg, Caixa Com 30 Comprimidos De Liberacao Prolongada",39.66,39.66,0,,
250,"Paracetamol Prati-Donaduzzi 750Mg, Blister Com 10 Comprimidos Revestidos",7.4,7.4,0,,
251,"Novalgina 50Mg Ml, Caixa Com 1 Frasco Com 100Ml De Solucao De Uso Oral + Seringa Dosadora Copo",45.66,45.66,0,,
252,Magnesia Bisurada 10 Comprimidos,10.51,10.51,0,,
253,Cicatricure Gel 60G,44.65,44.65,0,,
254,Evra 3 adesivos transdérmicos,138.19,138.19,0,,
255,Gerovital caixa com 60 cápsulas gelatinosas moles,112.49,112.49,0,,
256,Droxaíne Suspensão Oral 240ml,42.9,42.9,0,,
257,Zyad Diario 5mg 30 comprimidos,89.06,89.06,0,,
258,"Prednisolona Prati-Donaduzzi 20mg, caixa com 10 comprimidos",20.06,20.06,0,,
259,Fisiogen Ferro Caixa Com 30 Capsulas,137.81,137.81,0,,
260,Suplemento de Vitaminas A e D Emulsão Scott Sabor Regular 400mL,46.51,46.51,0,,
261,"Montelucaste de Sódio Biosintética - Aché 4mg, caixa com 30 comprimidos mastigáveis",107.65,107.65,0,,
262,Fluconazol - Medley 150mg caixa com 2 cápsulas,38.59,38.59,0,,
263,"Novalgina Comprimido 1g, caixa com 10 comprimidos",23.0,23.0,0,,
264,"Aminofilina Comprimido Teuto 200Mg, Caixa Com 20 Comprimidos",6.47,6.47,0,,
265,"Propionato de Clobetasol Neo Química 0,50mg/g, caixa com 1 bisnaga com 30g de creme de uso dermatológico",23.21,23.21,0,,
266,"Propionato De Clobetasol Neo Quimica 0,5Mg G, Caixa Com 1 Bisnaga Com 30G De Pomada De Uso Dermatologico",23.55,23.55,0,,
267,"Besilato De Anlodipino Cimed 10Mg, Caixa Com 30 Comprimidos",34.06,34.06,0,,
268,Neosaldina 30 Drageas,40.98,40.98,0,,
269,Pantoprazol 40 Mg 28 Comprimidos Eur,43.93,43.93,0,,
270,Alta D Caps 15000Ui 4 Capsulas,55.87,55.87,0,,
271,Puran T4 25Mcg 30 Comprimidos,17.2,17.2,0,,
272,"Xantinon Complex 40Mg Ml + 53Mg Ml + 50Mg Ml, 1 Flaconete Com 10Ml De Solucao De Uso Oral",3.04,3.04,0,,
273,"Tylenol Bebê 100mg/mL, caixa com 1 frasco com 15mL de suspensão de uso oral + seringa dosadora",57.61,57.61,0,,
274,"Hidraplex 1 envelope com 28,31g de pó para solução de uso oral, sabor água de coco",64.04,64.04,0,,
275,Emulvit D3 2000UI 30 comprimidos,35.9,35.9,0,,
276,"Narix 0,5mg/mL, caixa com 1 frasco gotejador com 30mL de solução de uso nasal",9.47,9.47,0,,
277,Rosuvastatina 10Mg Com 30 Comprimidos Althaia,51.4,51.4,0,,
278,Luvis Gold 60 Cápsulas Moles,153.98,153.98,0,,
279,Finasterida - EMS 1mg caixa com 30 comprimidos,70.04,70.04,0,,
280,"Cloridrato de Prometazina Teuto 25mg, caixa com 20 comprimidos revestidos",11.13,11.13,0,,
