Nome,Preço sem desconto,Preço com desconto,Desconto (porcentagem),Código EAN,Marca,Categoria
"Diad 1,5mg 1 comprimido",21.29,3.41,84,7896523216812,Cimed,Anticoncepcionais
Suplemento Alimentar Sulfato Ferroso 125mg/ml Arte Nativa Sabor Framboesa 30ml,5.4,4.21,22,7898277713302,Arte Nativa,Gripe E Resfriado
Analgésico Dorflex 36 comprimidos,21.98,18.99,14,7891058017507,Sanofi,Dor E Febre
DuploStat 800mg Abbott 60 Cápsulas Gelatinosas Moles,112.15,98.69,12,7898590870201,Abbott,Colesterol e Triglicerídeos
Varicell Phyto 500mg 30 cápsulas,57.12,39.98,30,7898040328535,Divcom Pharma,Mais Medicamentos
Novolin R 100UI/ml 1 ampola com 10ml,64.46,19.98,69,7897705200070,Novo Nordisk,Diabetes
Galvus Met 50mg + 850mg 56 comprimidos revestidos,243.78,243.78,0,7896261016255,Novartis,Diabetes
Elidel 10mg/g Creme 15g,222.89,160.48,28,7898560663482,Biolab Sanus,Alergias E Infecções
Suplemento Alimentar Althaia Vitamina D3 2.000UI 30 cápsulas gel,37.99,37.99,0,7898687730593,Althaia,Vitaminas
"Metamucil Sabor Laranja 10 sachês com 5,85g",56.57,41.86,26,20800750165,Procter&gamble,Digestivo
Acetilcisteína 10mg/ml União Química Uso Endovenoso/Inalatório 5 ampolas de 3ml,21.17,21.17,0,7896006259732,União Química,Mais Medicamentos
Humulin N NPH 100UI/ml 2 Refis de 3ml cada,88.3,51.21,42,7896382703317,Eli Lilly,Diabetes
Apresolina 25mg 20 drágeas,9.7,7.86,19,7896261018181,Novartis,Hipertensão
Glyxambi 25mg + 5mg 30 comprimidos revestidos,476.42,289.9,39,7896026306751,Boehringer,Diabetes
Diovan 320mg 28 comprimidos revestidos,137.68,137.68,0,7896261009554,Novartis,Hipertensão
"Motix Solução Injetável 10 ampolas com 2,2ml cada",244.0,209.84,14,7898040324988,Farmoquimica,Dor E Febre
"Concor HCT 5mg + 12,5mg 30 comprimidos revestidos",138.42,87.2,37,7891721026706,Merck,Hipertensão
Trayenta 5mg 30 comprimidos revestidos,307.88,307.88,0,7896026305259,Boehringer,Diabetes
"Lubrificante Ocular Laxime 0,15% 10ml",57.05,47.92,16,7896658034541,Ache,Mais Medicamentos
Suplemento Alimentar Lipomax Cromo 60 cápsulas,45.6,40.58,11,7898040328474,Lipomax,Emagrecedores
Elixir Paregórico 30ml,26.66,16.8,37,7896023701436,Catarinense,Anticoncepcionais
Plenance EZE 5mg+10mg 30 Cápsulas,74.89,59.16,21,7896094210028,Libbs,Colesterol e Triglicerídeos
Lidogel 20mg/g Neo Química Geleia 2% 30g,22.74,17.96,21,7896714230160,Neo Quimica,Mais Medicamentos
Sal de Frutas Eno Laranja 2 envelopes com 5g,4.39,3.69,16,7896015511166,Eno,Digestivo
Diovan 160mg 28 comprimidos revestidos,137.68,137.68,0,7896261005884,Novartis,Hipertensão
Suplemento Vitamínico Ad-Til 20ml,21.84,19.66,10,7896094925144,Hypera,Vitaminas
Caltrate Ca 600mg + D3 200 UI 30 comprimidos revestidos,66.7,62.7,6,7891045040884,Pfizer,Mais Medicamentos
"Trezete 10mg + 10mg Aché, 30 comprimidos",86.76,68.54,21,7896658027123,Ache,Colesterol e Triglicerídeos
Analgésico Novalgina 1g 10 comprimidos,23.0,21.16,8,7891058001155,Sanofi,Dor E Febre
"Rozex 7,5mg/g Gel 30g",105.21,88.38,16,7897930760172,Galderma,Dor E Febre
"Vecasten 26,7mg 30 comprimidos",132.7,102.18,23,7896226109435,Marjan,Mais Medicamentos
Nesina 25mg 30 comprimidos revestidos,159.38,132.29,17,7896094922433,Hypera,Diabetes
Torsilax Neo Química 30 comprimidos,33.29,15.65,53,7896714200804,Neo Quimica,Dor E Febre
Solução Injetável Prolia 60mg 1 Seringa com 1ml Refrigerado,0.0,892.24,32,7898609960565,Amgen,Mais Medicamentos
Fenergan 50mg/2ml Solução Injetável 25 ampolas com 2ml cada,116.04,100.95,13,7896070600485,Sanofi,Alergias E Infecções
Sal de Andrews Efervescente 1 envelope com 5g,1.67,1.67,0,7896015592363,Gsk,Digestivo
Bicarbonato de Sódio ADV 100g,9.49,9.49,0,7896230303676,Adv,Digestivo
Diovan 40mg 28 comprimidos revestidos,137.68,106.01,23,7896261011069,Novartis,Hipertensão
Capy Solução Capilar 50mg/ml 2 frascos de 50ml cada,126.37,39.9,68,7896004778297,Germed,Similar
"Puran T4 37,5mcg 30 comprimidos",10.88,7.83,28,7891058003562,Sanofi,Mais Medicamentos
Clopin Duo 75mg + 100mg 30 comprimidos revestidos,78.25,59.47,24,7896658032431,Ache,Mais Medicamentos
Antiácido Sonrisal Sabor Tradicional 2 comprimidos efervescentes,2.81,2.33,17,7896015520533,Gsk,Digestivo
Minel 200mg 30 comprimidos revestidos,157.71,157.71,0,7899824400331,Arese Pharma,Anticoncepcionais
Imecap Hair Cabelos e Unhas 30 Cápsulas,25.9,21.24,18,7898414852734,Imecap,Similar
Cimegripe 20 cápsulas,25.26,11.99,53,7896523200576,Cimed,Mais Medicamentos
Inilok 40mg Apsen 30 Comprimidos,68.65,42.9,38,7896637031509,Apsen,Digestivo
Insulina Fiasp 100U FlexTouch 3ml Com 1 Caneta,62.06,52.75,15,7897705202425,Novo Nordisk,Diabetes
Slow - K 600mg 20 drágeas,17.87,15.01,16,7896261006553,Genom,Vitaminas
Artrolive 1500mg + 1200mg Sabor Laranja 30 envelopes com 4g de granulado cada,227.12,227.12,0,7896658021268,Ache,Mais Medicamentos
Berotec 100mcg/ml 200 doses 10ml,32.78,28.52,13,7896026302784,Boehringer,Mais Medicamentos
Fumasil 60 Comprimidos Orodispersíveis,69.95,62.96,10,7898040328078,Divcom Pharma,Similar
Lacday 10.000 U.FCC EMS 30 comprimidos mastigáveis,60.9,47.9,21,7896004755519,Sigma Pharma,Anticoncepcionais
Vagifem 10mcg 18 comprimidos vaginais com aplicadores individuais,143.88,119.42,17,7898948648377,Besins,Anticoncepcionais
Analgésico CataflamPRO Emugel 150g,73.5,59.54,19,7896261018310,Cataflam,Dor E Febre
Puran T4 50mcg 30 comprimidos,19.02,13.69,28,7897595901316,Sanofi,Mais Medicamentos
Motix Pomada 50g,84.8,75.47,11,7898040324971,Farmoquimica,Dor E Febre
Aspirina Prevent 100mg 30 comprimidos revestidos,23.29,20.5,12,7891106001946,Bayer,Mais Medicamentos
Chá Stilgrip Sabor Mel e Limão 5g,2.75,1.79,35,7896331701029,Hertz,Mais Medicamentos
Suplemento Vitamínico Caldê 60 comprimidos mastigáveis,99.9,85.91,14,7896226109305,Marjan,Vitaminas
Monessa 90 cápsulas,325.4,174.9,46,7898549757133,Biolab Sanus,Similar
Puran T4 75mcg 30 comprimidos,20.76,14.95,28,7897595901323,Sanofi,Mais Medicamentos
Tanakan 120mg 30 comprimidos revestidos,314.32,242.03,23,7896255764933,Abbott,Mais Medicamentos
Levoid 38mcg 30 comprimidos,11.35,9.08,20,7896658002076,Ache,Mais Medicamentos
"Laxante Minilax 7 bisnagas com 6,5g",49.48,42.55,14,7899640807277,Momenta,Digestivo
Colic Calm Suspensão Oral 59ml,174.9,150.41,14,7898014567410,Colic Calm,Anticoncepcionais
Levoid 75mcg 30 comprimidos,19.92,15.74,21,7896658008788,Ache,Mais Medicamentos
Jardiance 10mg 30 comprimidos revestidos,305.82,224.9,26,7896026306416,Boehringer,Diabetes
Lotar 5mg + 100mg 30 cápsulas,83.17,63.21,24,7896181908890,Ache,Hipertensão
"Óleo Sachet Pielsana 7,5cm X 7,5cm 3ml",5.99,5.99,0,7898906846302,Dbs Ind E Com Ltda,Mais Medicamentos
Puran T4 88mcg 30 comprimidos,25.02,18.01,28,7897595903365,Sanofi,Mais Medicamentos
Profenid 100mg/2ml Solução Injetável 6 ampolas com 2ml cada,38.18,35.13,8,7896070601871,Sanofi,Dor E Febre
"Cataflam Pro XT 23,2mg/g Emugel 100g",79.9,63.92,20,7896261019348,Cataflam,Dor E Febre
Elixir Galenogal 150ml,41.7,36.28,13,7896331702859,Hertz,Dor E Febre
Suplemento Hidroeletrolítico Hidralyte Laranja 500ml,17.8,9.79,45,7898133139277,Natulab,Digestivo
Artroflan 150mg 60 comprimidos revestidos,220.68,187.58,15,7896094918436,Hypera,Dor E Febre
Analgésico Dorflex 10 comprimidos,7.56,6.65,12,7891058002916,Sanofi,Dor E Febre
"Puran T4 62,5mcg 30 comprimidos",18.12,13.05,28,7891058003579,Sanofi,Mais Medicamentos
Diovan 80mg 28 comprimidos revestidos,137.68,137.68,0,7896261005860,Novartis,Hipertensão
Artrolive 500mg + 400mg 90 cápsulas,330.8,330.8,0,7896658004391,Ache,Mais Medicamentos
Kit Solução para Lentes Bio Soak Olhos Sensíveis 360ml+120ml + Estojo para Lentes,51.9,44.12,15,7896112165538,Teuto,Mais Medicamentos
Ritmoneuran RTM 20 Cápsulas,18.9,18.9,0,7896331707946,Hertz,Mais Medicamentos
Dramin B6 30ml,23.17,20.85,10,7896094922075,Dramin,Digestivo
Pastilhas Angino-Rub Sabor Mel e Limão 16un,20.52,8.82,57,7891317007256,Eurofarma,Dor E Febre
Buscopan Gotas 10mg 20ml,21.4,18.83,12,7896094921405,Hypera,Anticoncepcionais
Fibras Normaten Fit 10 Sachês,62.8,62.8,0,7896226105246,Marjan,Digestivo
Januvia 100mg 28 comprimidos revestidos,321.58,321.58,0,7897337707664,Msd,Diabetes
Puran T4 100mcg 30 comprimidos,16.2,11.66,28,7897595901033,Sanofi,Mais Medicamentos
Doss 3.000UI Vitamina D3 30 cápsulas gelatinosas moles,64.91,41.54,36,7896112400073,Biolab Sanus,Vitaminas
Neosaldina 30 drágeas,39.8,31.44,21,7896094999992,Neosaldina,Dor E Febre
Dozemast 1.000mcg 30 comprimidos sublinguais,99.42,81.52,18,7896226108926,Marjan,Vitaminas
"Floratil AT 250mg 10 envelopes de 1,25g",73.82,57.58,22,7898040329624,Divcom Pharma,Digestivo
Zart 50mg 30 comprimidos revestidos,13.41,4.69,65,7891317425869,Eurofarma,Hipertensão
Pradaxa 75mg 30 cápsulas,195.17,142.47,27,7896026303088,Boehringer,Mais Medicamentos
Puran T4 125mcg 30 comprimidos,23.79,17.13,28,7897595901446,Sanofi,Mais Medicamentos
"Óleo Sachet Pielsana 7,5cm X 15cm 5ml",7.9,7.43,6,7898906846494,Dbs Ind E Com Ltda,Mais Medicamentos
Zinpass Eze 20mg + 10mg 30 comprimidos revestidos,122.57,102.96,16,7896422504645,Medley,Mais Medicamentos
Ginkgo Vital 80mg 30 comprimidos,51.73,25.35,51,7899547508758,Prati Donaduzzi,Mais Medicamentos
Arnica Weleda 80 comprimidos,81.99,72.97,11,7893093067134,Weleda,Dor E Febre
Leucogen 80mg 30 cápsulas,161.81,112.49,30,7896658029028,Ache,Gripe E Resfriado
Teste de Gravidez Fast Test 1un,7.99,6.15,23,7898902708123,Cepalab,Anticoncepcionais
Vitamina D3 50.000UI Althaia 10 Cápsulas Moles,131.9,73.86,44,7898569765828,Althaia,Vitaminas
Sabonete Sanasar 80g,14.55,13.53,7,7896331700121,Hertz,Mais Medicamentos
"Spiolto 2,5mcg + 2,5mcg 1 Frasco com 4ml de Solução, 60 Acionamentos + Inalador Respimat",377.71,377.71,0,7896026306799,Boehringer,Mais Medicamentos
Cistitemed 30 comprimidos,39.9,35.51,11,7898037084680,Almeida Prado,Anticoncepcionais
Lacto - Purga 16 comprimidos revestidos,11.87,10.68,10,7896094904118,Hypera,Digestivo
SeloZok 50mg 30 comprimidos revestidos de liberação controlada,77.47,77.47,0,7896206402860,Astrazeneca,Hipertensão
Citoneurin 5.000 20 drágeas,71.89,56.07,22,7891721028335,Merck,Dor E Febre
Kelo-Cote Spray 100ml,244.5,244.5,0,7898040322618,Farmoquimica,Mais Medicamentos
Triancil 20mg/ml Solução Injetável 5 frascos-ampola com 1ml cada,140.04,114.9,18,7896637022811,Apsen,Mais Medicamentos
Retemic 5mg 60 comprimidos,71.58,56.55,21,7896637022569,Apsen,Mais Medicamentos
Suplemento Vitamínico Depura 500UI/Gota 10ml,95.85,82.43,14,7891058018627,Sanofi,Vitaminas
Castanha da Índia Atalaia 30 drágeas,54.05,44.86,17,7896372505006,Farmabraz,Mais Medicamentos
"Bravan HCT 160mg + 12,5mg 30 comprimidos",70.42,53.52,24,7896658018763,Ache,Hipertensão
Diosmin 450mg + 50mg 60 comprimidos revestidos,140.89,140.89,0,7896658006050,Ache,Mais Medicamentos
Laxante Muvinlax Sabor Limão 20 sachês com 14g,49.4,43.97,11,7896094201637,Libbs,Digestivo
Valerimed 50mg 20 comprimidos revestidos,24.77,17.59,29,7896523206547,Cimed,Mais Medicamentos
Óleo Mineral União Química 100ml,15.9,12.56,21,7896006277408,União Química,Digestivo
Micardis 80mg 30 comprimidos,246.05,246.05,0,7896026304276,Boehringer,Hipertensão
Suplemento Alimentar Calcitran D3 1000ui 60 comprimidos revestidos,51.7,46.53,10,7898040329532,Divcom Pharma,Mais Medicamentos
Salonpas Gel 40g,36.61,36.61,0,7896227800034,Hisamitsu,Dor E Febre
Folacin Sabor Laranja Gotas 30ml,46.89,42.67,9,7896317906165,Arese,Gripe E Resfriado
Lotar 5mg + 50mg 30 cápsulas,76.79,59.13,23,7896181915072,Ache,Hipertensão
Vaporizante Descongestionante Vick VapoRub Unguento 100g,86.72,64.17,26,7500435157599,Vick,Mais Medicamentos
Benerva 300mg 30 comprimidos revestidos,33.12,27.16,18,7893454714325,Valeant Farm Do Brasil,Vitaminas
Analgésico Dorflex 24 comprimidos,17.09,15.72,8,7891058022136,Sanofi,Dor E Febre
Dorilen Gotas 15ml,36.4,20.02,45,7896004715049,Legrand,Dor E Febre
"Clob - X 0,5mg/ml Shampoo 125ml",181.13,143.09,21,7897930761162,Galderma,Alergias E Infecções
Xantinon 30 comprimidos revestidos,14.99,13.49,10,7896006216483,União Química,Digestivo
Buscopan Composto 20 comprimidos revestidos,23.2,19.95,14,7896094921399,Hypera,Anticoncepcionais
Brilinta 90mg 60 comprimidos revestidos,474.92,398.93,16,7896206403409,Astrazeneca,Mais Medicamentos
"Ozempic 0,25mg 1 carpule de 1,5ml + 1 sistema para aplicação + 6 agulhas novofine",971.4,825.69,15,7897705202548,Novo Nordisk,Diabetes
Ferinject 50mg/ml 1 ampola com 10ml,774.88,550.16,29,7898581710622,Takeda,Mais Medicamentos
"Bicarbonato de Sódio ADV 10 Sachês de 2,5g cada",6.3,6.3,0,7896230304338,Adv,Digestivo
Xarope Leucogen Sabor Caramelo 120ml,114.2,91.36,20,7896658002403,Ache,Gripe E Resfriado
Perlatte 9.000 fcc 10 comprimidos,18.5,14.99,19,7891317018207,Eurofarma,Anticoncepcionais
Magnésia Bisurada Sabor Menta 40 pastilhas,41.95,38.17,9,7891045035040,Aspen Pharma,Digestivo
Reuquinol 400mg 30 comprimidos revestidos,111.98,73.91,34,7896637023047,Apsen,Mais Medicamentos
Busonid Aquoso Nasal 50mcg 120 doses 6ml,43.55,35.28,19,7896181907176,Ache,Alergias E Infecções
Dramin B6 30 comprimidos revestidos,24.29,21.86,10,7896094999978,Dramin,Digestivo
Loratamed 10mg Cimed 12 comprimidos,20.33,7.12,65,7896523202822,Cimed,Alergias E Infecções
"Niki 3mg + 0,02mg 72 comprimidos revestidos",172.35,172.35,0,7894916510288,Sigma Pharma,Anticoncepcionais
"Moment 0,25mg/ml 60ml",66.76,60.08,10,7896637023122,Apsen,Dor E Febre
Glivance XR 500mg + 30mg 30 Comprimidos de Liberação Prolongada,54.62,43.15,21,7891721029950,Merck,Diabetes
Utrogestan 100mg 30 cápsulas,79.43,75.46,5,7898040321338,Besins,Anticoncepcionais
Creme Dermatológico Fenergan 20mg/g 30g,22.93,20.87,9,7896070600249,Sanofi,Alergias E Infecções
Contractubex Gel 20g,100.5,89.45,11,7896112403418,Biolab Sanus,Mais Medicamentos
Neosaldina 4 drágeas,7.99,7.19,10,7896094922402,Neosaldina,Dor E Febre
Laxante Phosfoenema 130ml,19.47,17.91,8,7896676401776,Supera,Digestivo
Proctocaps 20 cápsulas,23.57,23.57,0,7896331701371,Hertz,Mais Medicamentos
AAS Protect 100mg 30 comprimidos revestidos de liberação entérica,22.16,19.94,10,7897595903693,Sanofi,Dor E Febre
Probiatop 30 sachês com 1g,129.2,129.2,0,7898040323844,Farmoquimica,Digestivo
Solução Tópica Pantogar Top 80ml,169.9,151.21,11,7896112400493,Biolab Sanus,Similar
Vicog 5mg 90 comprimidos,90.12,67.59,25,7896226109275,Marjan,Mais Medicamentos
Probiótico ZincoPro Marjan Farma 30 cápsulas,122.35,116.23,5,7896226109237,Marjan,Digestivo
AAS Infantil 100mg com 120 comprimidos,83.91,71.32,15,7896094928091,Sanofi,Dor E Febre
Suplemento Alimentar Doss 1.000UI Vitamina D3 30 cápsulas gelatinosas moles,32.15,28.29,12,7896112402329,Biolab Sanus,Vitaminas
Gino Canesten 1 Dia 500mg 1 comprimido vaginal + 1 aplicador,94.99,70.29,26,7891106001755,Bayer,Anticoncepcionais
Doralgina Neo Química 20 drágeas,28.5,10.99,61,7896714210018,Neo Quimica,Dor E Febre
Traumeel S Pomada 50g,86.5,80.45,7,7898908753172,Heel,Dor E Febre
Noripurum 50mg/ml Gotas 30ml,44.71,41.58,7,7896641805479,Takeda,Gripe E Resfriado
Neutrofer 300mg 30 comprimidos revestidos,58.91,50.66,14,7894916500333,Sigma Pharma,Gripe E Resfriado
Complexo Homeopático Almeida Prado N 46 60 Comprimidos,37.9,30.7,19,7898037080460,Almeida Prado,Digestivo
Chá Vick Pyrena Sabor Mel e Limão 5g,4.39,3.47,21,7896093001054,Procter&gamble,Mais Medicamentos
Sal de Frutas Eno Limão 2 envelopes com 5g,4.39,3.64,17,7896015518479,Eno,Digestivo
Metamucil Pó Sabor Original 210g,102.5,87.13,15,7500435121965,Procter&gamble,Digestivo
"Zomig OD 2,5mg 2 comprimidos orodispersíveis",71.62,50.13,30,7898582382224,Grunenthal,Dor E Febre
Humulin R 1000UI 10ml,81.9,47.5,42,7896382700576,Eli Lilly,Diabetes
Diupress 25mg + 5mg 30 comprimidos,43.16,33.66,22,7891317010065,Supera,Hipertensão
Diovan HCT 160mg + 25mg Novartis 28 comprimidos revestidos,164.65,164.65,0,7896261008076,Novartis,Hipertensão
"Dermosalic 0,5mg/ml + 20,0mg/ml 30ml",49.91,19.96,60,7893454100654,Bunker,Dor E Febre
Siilif 100mg 60 comprimidos revestidos,187.99,139.11,26,7896641806414,Takeda,Anticoncepcionais
"Bravan HCT 80mg + 12,5mg 30 comprimidos",70.42,53.52,24,7896658018800,Ache,Hipertensão
Micardis 40mg 30 comprimidos,220.5,220.5,0,7896026304245,Boehringer,Hipertensão
"Nesina Met* 12,5mg + 1000mg 60 comprimidos revestidos",163.89,129,21,7896094922426,Hypera,Diabetes
Lactulona 667mg/ml Xarope Sabor Ameixa 120ml,58.46,50.28,14,7897411610750,Sankyo Pharma,Digestivo
Tandene 30 comprimidos,28.8,14.11,51,7893454100685,Bunker,Dor E Febre
Neolefrin Dia Neo Química 20 comprimidos,17.99,12.23,32,7896714273822,Neo Quimica,Mais Medicamentos
Venaflon 450mg + 50mg 60 comprimidos revestidos,171.76,77.29,55,7896112116554,Teuto,Mais Medicamentos
AAS Infantil 100mg com 30 comprimidos,23.17,21.08,9,7896094928107,Sanofi,Dor E Febre
"Avamys Spray Nasal 27,5mg 120 doses 9,1ml",70.72,61.53,13,7896015518875,Gsk,Alergias E Infecções
Toragesic 10mg 10 comprimidos sublinguais,49.39,41.49,16,7894916516006,Sigma Pharma,Dor E Febre
Doss 7.000UI 30 cápsulas gelatinosas moles,99.67,62.79,37,7896112400141,Biolab Sanus,Mais Medicamentos
Vitamina D Sof D 7.000 UI 8 cápsulas gelatinosas moles,33.44,28.76,14,7891158104060,Abbott,Vitaminas
Suplemento Alimentar Pealiv 300mg 30 comprimidos,102.29,97.18,5,7898430194009,Myralis Pharma,Dor E Febre
"Level 0,10mg + 0,02mg 63 comprimidos revestidos",83.6,61.86,26,7896112448358,Biolab Sanus,Anticoncepcionais
Alginac 5.000mcg + 100mg + 100mg + 75mg 3 ampolas com 1ml + 3 ampolas com 2ml,34.89,29.31,16,7891721008368,Merck,Dor E Febre
Acheflan 5mg/g Aerossol 75ml,82.07,68.94,16,7896658006920,Ache,Dor E Febre
Ibandronato de Sódio Monoidratado 150mg EMS 1 comprimido revestido,83.51,38.41,54,7896004752471,Ems,Mais Medicamentos
Codroflex 500mg + 400mg 90 cápsulas,190.18,142.64,25,7892953003022,Zodiac,Mais Medicamentos
Resolor 1mg 14 comprimidos revestidos,157.12,124.12,21,7896212424269,Johnson & Johnson,Digestivo
Loção Oleosa Dersani 100ml,58.9,50.07,15,7898087340040,Dérsani,Mais Medicamentos
Euthyrox 25mcg 50 comprimidos,36.0,27,25,7891721014642,Merck,Mais Medicamentos
Xarope Phitóss 7mg/ml Sabor Framboesa 100ml,36.09,17.32,52,7898100243112,Brasterapica,Mais Medicamentos
Diovan Amlo Fix 320mg + 10mg 28 comprimidos revestidos,194.15,194.15,0,7896261012608,Novartis,Hipertensão
